name,brand,category,oliveyoung_id,oliveyoung_rank,source_url,raw_ingredients_text
에스트라 아토베리어365 크림 80ml,에스트라,skincare,A000000222833,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222833,"정제수, 부틸렌글라이콜, 글리세린, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 세틸에틸헥사노에이트, 스쿠알란, 펜타에리스리틸테트라아이소스테아레이트, 다이카프릴릴카보네이트, 베헤닐알코올, 다이메티콘, 하이드록시프로필비스팔미타마이드엠이에이, 스테아릭애씨드, 베타인, 만니톨, C14-22알코올, 팔미틱애씨드, 하이드록시프로필비스라우라마이드엠이에이, 아라키딜알코올, 콜레스테롤, 폴리아크릴레이트-13, C12-20알킬글루코사이드, 알란토인, 아라키딜글루코사이드, 나이아신아마이드, 세라마이드엔피, 글리세릴카프릴레이트, 에틸헥실글리세린, 하이드로제네이티드폴리아이소부텐, 카보머, 트로메타민, 다이메티콘올, 폴리글리세릴-10라우레이트, 하이드로제네이티드레시틴, 에틸헥실팔미테이트, 아크릴레이트/암모늄메타크릴레이트코폴리머, 솔비탄아이소스테아레이트, 실리카, 피토스핑고신, 스핑고리피드, 아라키딕애씨드, 토코페롤, 올레익애씨드"
토리든 다이브인 저분자 히알루론산 세럼 50ml,토리든,skincare,A000000189261,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189261,"정제수, 부틸렌글라이콜, 글리세린, 다이프로필렌글라이콜, 1,2-헥산다이올, 판테놀, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 알란토인, 트레할로스, 베타인, 프로판다이올, 쇠비름추출물, 버지니아풍년화추출물, 마데카소사이드, 마데카식애씨드, 세라마이드엔피, 베타-글루칸, 말라카이트추출물, 콜레스테롤, 펜틸렌글라이콜, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 피브이엠/엠에이코폴리머, 폴리글리세릴-10라우레이트, 잔탄검, 트로메타민, 카보머, 에틸헥실글리세린, 황금추출물, 모란뿌리추출물"
이니스프리 레티놀 시카 흔적 앰플 30ml,이니스프리,skincare,A000000230208,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230208,"정제수, 글리세린, 부틸렌글라이콜, 나이아신아마이드, 다이부틸아디페이트, 카프릴릭/카프릭트라이글리세라이드, 1,2-헥산다이올, 하이드로제네이티드레시틴, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 해바라기씨오일, 콜레스테롤, 알란토인, 돌콩오일, 토코페롤, 토코페릴아세테이트, 소듐메틸스테아로일타우레이트, 프로판다이올, 당근추출물, 에틸헥실글리세린, 아데노신, 아시아티코사이드, 마데카식애씨드, 녹차씨추출물, 아시아틱애씨드, 레티놀, 스테아릴글리시레티네이트, 하이알루로닉애씨드, 만니톨, 세라마이드엔피, 베타-글루칸, 베타-카로틴, 피토스핑고신, 비에이치티, 살리실릭애씨드, 아세틸테트라펩타이드-11"
메디힐 에센셜 마스크팩 (마데카소사이드),메디힐,mask_pack,A000000223414,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414,"정제수, 프로판다이올, 다이프로필렌글라이콜, 나이아신아마이드, 글리세린, 1,2-헥산다이올, 트레할로오스, 하이드록시아세토페논, 알지닌, 카보머, 폴리글리세릴-10라우레이트, 에틸헥실글리세린, 폴리글리세릴-4라우레이트, 잔탄검, 다이소듐이디티에이, 옥틸도데세스-16, 연필향나무오일, 마데카소사이드, 서양배추출물, 호호바씨오일, 다마스크장미꽃수, 광곽향오일, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 오리스뿌리추출물, 멜론추출물, 불가리스쑥오일, 서양송악잎/줄기추출물, 로즈마리잎오일, 부틸렌글라이콜, 해수, 소듐하이알루로네이트, 병풀추출물, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 하이드로제네이티드레시틴, 향부자추출물, 벤질글라이콜, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 판테놀, 세라마이드엔피"
메디힐 더마 패드 (마데카소사이드),메디힐,mask_pack,A000000171427,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427,"정제수, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 글리세린, 1,2-헥산다이올, 다이페닐다이메티콘, 트라이에틸헥사노인, 하이드록시아세토페논, 하이드로제네이티드레시틴, 폴리글리세릴-10올리에이트, 병풀추출물, 다이포타슘글리시리제이트, 소듐시트레이트, 알란토인, 옥틸도데세스-16, 시트릭애씨드, 다이소듐이디티에이, 폴리글리세릴-10라우레이트, 연필향나무오일, 부틸렌글라이콜, 불가리스쑥오일, 광곽향오일, 마데카소사이드, 로즈마리잎오일, 향기제비꽃잎추출물, 병풀뿌리추출물, 병풀잎추출물, 효모발효물, 망고추출물, 락토바실러스발효물, 아시아티코사이드, 마데카식애씨드, 아시아틱애씨드"
메노킨 퀵 버블 마스크 (리프트),메노킨,mask_pack,A000000234422,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234422,"정제수, 프로판다이올, 글리세린, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 부틸렌글라이콜, 폴리글리세릴-10라우레이트, 1,2-헥산다이올, 메틸글루세스-20, 하이드록시아세토페논, 에틸헥실글리세린, 시트릭애씨드, 다이소듐이디티에이, 하이드롤라이즈드치자추출물, 하이드롤라이즈드맥아추출물, 아데노신, 하이드롤라이즈드삼색제비꽃추출물, 치자추출물, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 덱스트린, 암모늄폴리아크릴로일다이메틸타우레이트, 하이드롤라이즈드콜라겐, 소듐하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐시트레이트, 펜틸렌글라이콜, 병풀추출물, 마데카소사이드, 데실글루코사이드, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 포타슘하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 카프릴릴글라이콜, 소듐아세틸레이티드하이알루로네이트"
